geneid	P1vsN1	P2vsN2	P3vsN3
WBGene00022146	0.366075292	-7.46E-06	-0.059476612
WBGene00006063	0.518513936	-3.71E-06	-0.017171858
WBGene00001977	0.562509669	1.33E-06	-0.003343788
WBGene00014151	0.562509669	1.33E-06	-0.003343788
WBGene00012531	0.488707012	6.25E-06	0.000725285
WBGene00016493	0.394247193	4.62E-06	-0.019496247
WBGene00044586	0.392788879	-1.61E-06	0.038206482
WBGene00003600	0.347428467	6.10E-06	0.062804361
WBGene00018152	0.299409186	-1.11E-05	-0.051468563
WBGene00012663	0.55802823	-1.30E-06	-0.029796991
WBGene00011268	0.55802823	-1.30E-06	-0.029796991
WBGene00020491	0.488057327	2.05E-06	-0.044827323
WBGene00023497	0.383576865	-3.63E-06	0.017618897
WBGene00004431	0.524104949	-9.24E-07	-0.039227826
WBGene00019246	0.478795732	4.65E-06	-0.015470223
WBGene00016011	0.358617699	-2.07E-06	-0.131649772
WBGene00020629	0.423772086	-2.36E-06	-0.153331991
WBGene00004373	0.300596754	-1.44E-05	-0.029367192
WBGene00014549	0.400362014	2.90E-06	-0.204625096
WBGene00012329	0.400362014	2.90E-06	-0.204625096
WBGene00012728	0.400362014	2.90E-06	-0.204625096
WBGene00021346	0.354859254	8.10E-06	-0.006280617
WBGene00001581	0.490442898	1.63E-06	-0.104966459
WBGene00002081	0.386885139	-1.04E-06	-0.182761573
WBGene00018226	0.361739678	1.09E-05	-0.059827896
WBGene00018886	0.361739678	1.09E-05	-0.059827896
WBGene00021260	0.514199508	-1.10E-06	0.008571229
WBGene00022486	0.393551952	9.36E-06	-0.461128877
WBGene00019347	0.351411361	5.21E-06	-0.030328453
WBGene00013522	0.324702753	2.09E-06	0.002421555
WBGene00022037	0.383575301	4.40E-06	-0.001690854
WBGene00002203	0.419931336	-1.90E-06	-0.058029245
WBGene00009428	0.561882537	1.39E-06	0.014863528
WBGene00009430	0.561882537	1.39E-06	0.014863528
WBGene00015451	0.567885259	-1.50E-06	0.018207351
WBGene00008920	0.358226016	-1.89E-06	-0.055378659
WBGene00008921	0.358226016	-1.89E-06	-0.055378659
WBGene00021549	0.301619107	-1.72E-05	0.03615651
WBGene00007581	0.386689289	-1.31E-06	0.025848099
WBGene00045037	0.500510492	4.48E-06	0.024155879
WBGene00015913	0.529616302	2.55E-06	0.056895677
WBGene00012379	0.462967657	1.86E-06	0.079212659
WBGene00004189	0.416440021	4.30E-06	0.042584608
WBGene00003961	0.354358249	3.07E-06	0.077090367
WBGene00001038	0.364123277	4.17E-06	0.057108662
WBGene00014249	0.364123277	4.17E-06	0.057108662
WBGene00006418	0.487038037	2.84E-06	-0.037300711
WBGene00003907	0.474899878	3.88E-06	0.048876394
WBGene00000121	0.441207823	-3.83E-06	-0.007551536
WBGene00009078	0.441207823	-3.83E-06	-0.007551536
